query_id,baseline_config_id,hierarchy_config_id,search_scope,top_k,specificity,target_document_codes,baseline_precision,hierarchy_precision,delta_precision,baseline_recall,hierarchy_recall,delta_recall,baseline_f1,hierarchy_f1,delta_f1,baseline_r_precision,hierarchy_r_precision,delta_r_precision,baseline_mrr,hierarchy_mrr,delta_mrr,baseline_ndcg,hierarchy_ndcg,delta_ndcg
q4eu_001,fs_256_50,hier_paragraph,target_acts,10,H,E,0.12,0.375,0.255,1.0,1.0,0.0,0.21428571428571425,0.5454545454545454,0.33116883116883117,0.6666666666666666,1.0,0.33333333333333337,1.0,1.0,0.0,0.9325210919548239,1.0,0.06747890804517609
q4eu_001,sem_50_256,hier_paragraph,target_acts,10,H,E,0.2,0.375,0.175,1.0,1.0,0.0,0.33333333333333337,0.5454545454545454,0.21212121212121204,0.6666666666666666,1.0,0.33333333333333337,1.0,1.0,0.0,0.9469024295259745,1.0,0.053097570474025524
q4eu_002,fs_256_50,hier_paragraph,target_acts,10,N,E,0.08333333333333333,0.1111111111111111,0.027777777777777776,1.0,0.5,-0.5,0.15384615384615385,0.1818181818181818,0.02797202797202794,0.5,0.0,-0.5,1.0,0.16666666666666666,-0.8333333333333334,0.778842958530688,0.21840743681816419,-0.5604355217125238
q4eu_002,sem_50_256,hier_paragraph,target_acts,10,N,E,0.14285714285714285,0.1111111111111111,-0.031746031746031744,1.0,0.5,-0.5,0.25,0.1818181818181818,-0.0681818181818182,0.0,0.0,0.0,0.2,0.16666666666666666,-0.033333333333333354,0.3941376571472261,0.21840743681816419,-0.1757302203290619
q4eu_003,fs_256_50,hier_paragraph,target_acts,10,L,E,0.09090909090909091,0.125,0.03409090909090909,1.0,0.5,-0.5,0.16666666666666669,0.2,0.033333333333333326,0.0,0.5,0.5,0.14285714285714285,0.5,0.35714285714285715,0.3754154816562042,0.38685280723454163,0.011437325578337432
q4eu_003,sem_50_256,hier_paragraph,target_acts,10,L,E,0.08333333333333333,0.125,0.04166666666666667,0.5,0.5,0.0,0.14285714285714285,0.2,0.05714285714285716,0.0,0.5,0.5,0.3333333333333333,0.5,0.16666666666666669,0.3065735963827292,0.38685280723454163,0.08027921085181244
q4eu_004,fs_256_50,hier_paragraph,target_acts,10,N,E,0.09523809523809523,0.2857142857142857,0.19047619047619047,1.0,1.0,0.0,0.17391304347826084,0.4444444444444445,0.27053140096618367,0.0,0.5,0.5,0.25,1.0,0.75,0.5012658353418871,0.9197207891481876,0.4184549538063005
q4eu_004,sem_50_256,hier_paragraph,target_acts,10,N,E,0.2,0.2857142857142857,0.08571428571428569,1.0,1.0,0.0,0.33333333333333337,0.4444444444444445,0.1111111111111111,0.0,0.5,0.5,0.3333333333333333,1.0,0.6666666666666667,0.5706417189553201,0.9197207891481876,0.34907907019286744
q4eu_005,fs_256_50,hier_paragraph,target_acts,10,L,E,0.1111111111111111,0.14285714285714285,0.031746031746031744,1.0,0.5,-0.5,0.19999999999999998,0.22222222222222224,0.022222222222222254,0.5,0.5,0.0,0.5,1.0,0.5,0.5338931479009518,0.6131471927654584,0.0792540448645066
q4eu_005,sem_50_256,hier_paragraph,target_acts,10,L,E,0.16666666666666666,0.14285714285714285,-0.023809523809523808,1.0,0.5,-0.5,0.2857142857142857,0.22222222222222224,-0.06349206349206346,0.5,0.5,0.0,0.5,1.0,0.5,0.5640920940185894,0.6131471927654584,0.049055098746868975
