config_id,search_scope,target_document,top_k,query_count,precision,recall,f1,r_precision,mrr,ndcg,retrieved_answer_unit_count,relevant_retrieved_count
fs_128_25,all_acts,B,5,10,0.22326118326118327,0.4533333333333333,0.2857808857808858,0.3333333333333333,0.5700000000000001,0.40944364746058276,8.8,1.6
fs_128_25,all_acts,B,10,10,0.14340890104047999,0.6033333333333333,0.22506962335909705,0.3333333333333333,0.5776923076923077,0.4701821186623801,17.2,2.1
fs_128_25,all_acts,E,5,17,0.23025210084033612,0.788235294117647,0.34601976262875916,0.4480392156862745,0.6558823529411765,0.6411461809929585,7.9411764705882355,1.6470588235294117
fs_128_25,all_acts,E,10,17,0.14242847441718323,0.9058823529411765,0.2426592580207587,0.4480392156862745,0.6558823529411765,0.6812842616812952,13.941176470588236,1.8823529411764706
fs_128_25,all_acts,G,5,17,0.21059757236227825,0.4774509803921569,0.2620151090739326,0.26176470588235295,0.44467787114845936,0.35741165427571614,6.588235294117647,1.3529411764705883
fs_128_25,all_acts,G,10,17,0.17112226009284834,0.707843137254902,0.2548825782162151,0.27156862745098037,0.45056022408963586,0.44971529988953135,12.176470588235293,2.0588235294117645
fs_128_25,all_acts,RI,5,7,0.13815351315351315,0.42142857142857143,0.20118770118770118,0.21428571428571427,0.4035714285714286,0.33872974362557207,10.571428571428571,1.2857142857142858
fs_128_25,all_acts,RI,10,7,0.07533416875522138,0.4928571428571429,0.12781653129479217,0.21428571428571427,0.4035714285714286,0.36173586149545894,19.571428571428573,1.4285714285714286
fs_128_25,all_acts,RII,5,3,0.18803418803418803,0.3106060606060606,0.19607843137254902,0.14393939393939395,0.4166666666666667,0.27620949665906924,12.0,2.3333333333333335
fs_128_25,all_acts,RII,10,3,0.2333333333333333,0.4545454545454546,0.2514619883040936,0.20454545454545456,0.4166666666666667,0.3390898814736539,19.0,4.0
fs_128_25,all_acts,W,5,21,0.2293461829176115,0.5023809523809524,0.2825465539751254,0.28015873015873016,0.6936507936507936,0.4674243000983174,6.333333333333333,1.2857142857142858
fs_128_25,all_acts,W,10,21,0.12655131205551373,0.5357142857142857,0.19473404746513992,0.28015873015873016,0.6936507936507936,0.4722082478279894,11.904761904761905,1.4285714285714286
fs_128_25,pil_acts,B,5,10,0.22326118326118327,0.4533333333333333,0.2857808857808858,0.3333333333333333,0.5700000000000001,0.40944364746058276,8.9,1.6
fs_128_25,pil_acts,B,10,10,0.14507556770714664,0.6033333333333333,0.22717488651699175,0.3333333333333333,0.5776923076923077,0.47121861693154327,16.9,2.1
fs_128_25,pil_acts,RI,5,7,0.12743922743922745,0.42142857142857143,0.1909836195550481,0.21428571428571427,0.4035714285714286,0.33872974362557207,10.857142857142858,1.2857142857142858
fs_128_25,pil_acts,RI,10,7,0.07998866213151927,0.5285714285714286,0.13626373626373628,0.21428571428571427,0.4035714285714286,0.37510986187940126,19.571428571428573,1.5714285714285714
fs_128_25,pil_acts,RII,5,3,0.18803418803418803,0.3106060606060606,0.19607843137254902,0.14393939393939395,0.4166666666666667,0.27620949665906924,12.0,2.3333333333333335
fs_128_25,pil_acts,RII,10,3,0.2333333333333333,0.4545454545454546,0.2514619883040936,0.20454545454545456,0.4166666666666667,0.3390898814736539,18.333333333333332,4.0
fs_128_25,target_acts,B,5,10,0.263003663003663,0.48666666666666664,0.3209090909090909,0.4033333333333333,0.625,0.45130456036950506,8.2,1.7
fs_128_25,target_acts,B,10,10,0.19214285714285714,0.735,0.29989234449760765,0.4033333333333333,0.625,0.559969487089742,15.4,2.6
fs_128_25,target_acts,E,5,17,0.23809523809523808,0.788235294117647,0.35582368419738664,0.4480392156862745,0.6558823529411765,0.6411461809929585,7.705882352941177,1.6470588235294117
fs_128_25,target_acts,E,10,17,0.1463614695266489,0.9058823529411765,0.24850047562668215,0.4480392156862745,0.6558823529411765,0.6812842616812952,13.647058823529411,1.8823529411764706
fs_128_25,target_acts,G,5,17,0.21059757236227825,0.4774509803921569,0.2620151090739326,0.26176470588235295,0.44467787114845936,0.35741165427571614,6.588235294117647,1.3529411764705883
fs_128_25,target_acts,G,10,17,0.17231061422237892,0.707843137254902,0.2565279916263344,0.27156862745098037,0.45056022408963586,0.44971529988953135,12.058823529411764,2.0588235294117645
fs_128_25,target_acts,RI,5,7,0.17821384964242107,0.4571428571428572,0.24581133152561724,0.31428571428571433,0.4571428571428572,0.386990524051232,9.285714285714286,1.4285714285714286
fs_128_25,target_acts,RI,10,7,0.12371794871794872,0.5571428571428572,0.19632216522972826,0.31428571428571433,0.4571428571428572,0.42673573189918557,15.714285714285714,1.7142857142857142
fs_128_25,target_acts,RII,5,3,0.23232323232323235,0.393939393939394,0.2562091503267974,0.14393939393939395,0.4166666666666667,0.3381604966850161,11.333333333333334,2.6666666666666665
